hotel,is_canceled,lead_time,arrival_date_month,arrival_date_day_of_month,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,city,temperature_2m_mean,rain_sum,people,same_room,total_stays
Resort Hotel - Goa,0,49,August,28,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,46.66,0,1,Goa,24.702082,29.4,2.0,Yes,3
Resort Hotel - Jaipur,0,33,August,12,BB,PRT,Corporate,Direct,0,0,0,0,No Deposit,0.0,0,Transient-Party,42.0,0,0,Jaipur,26.087496,21.300001,1.0,Yes,1
Resort Hotel - Bhopal,0,33,June,6,BB,ESP,Corporate,Direct,0,0,0,0,No Deposit,0.0,0,Transient-Party,42.0,0,0,Bhopal,34.812504,0.0,1.0,Yes,1
Resort Hotel - Chandigarh,0,81,March,5,BB,FIN,Direct,Direct,0,0,0,2,No Deposit,250.0,0,Transient,83.3,0,1,Chandigarh,13.770835,0.0,2.0,Yes,6
Resort Hotel - Chennai,0,80,February,15,SC,ESP,Groups,TA/TO,0,0,0,0,No Deposit,67.0,0,Transient-Party,51.0,0,0,Chennai,26.527086,0.0,2.0,No,4
Resort Hotel - Pune,0,0,December,5,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,101.0,1,0,Pune,25.96875,0.2,2.0,Yes,1
Resort Hotel - Pune,0,36,March,5,BB,FRA,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0,Transient,101.27,1,1,Pune,24.44375,0.0,2.0,No,11
Resort Hotel - Kochi,0,3,November,12,BB,FRA,Direct,TA/TO,0,0,0,0,No Deposit,0.0,0,Transient,103.0,1,1,Kochi,26.833336,2.1999998,2.0,No,1
Resort Hotel - Delhi,0,21,November,29,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,Other,0,Transient,35.1,0,0,Delhi,18.916666,0.0,1.0,Yes,4
Resort Hotel - Kochi,0,19,November,10,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,73.0,1,1,Kochi,26.389582,2.3,2.0,No,3
Resort Hotel - Indore,0,52,April,21,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,74.7,0,0,Indore,30.791666,0.0,2.0,Yes,4
Resort Hotel - Bangalore,0,19,June,5,BB,USA,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,101.0,1,0,Bangalore,23.81875,20.800001,2.0,Yes,4
Resort Hotel - Lucknow,0,65,November,17,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,171.0,0,Transient,61.4,0,0,Lucknow,23.402084,0.0,2.0,No,3
Resort Hotel - Chandigarh,0,1,April,19,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,60.0,0,0,Chandigarh,27.287498,0.8,2.0,Yes,3
Resort Hotel - Hyderabad,0,33,April,5,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,171.0,0,Transient,0.0,0,0,Hyderabad,32.56458,0.0,2.0,No,0
Resort Hotel - Pune,0,55,April,8,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,171.0,0,Transient,41.4,0,0,Pune,29.204165,0.0,2.0,Yes,4
Resort Hotel - Goa,0,9,March,10,HB,PRT,Direct,Direct,0,0,0,2,No Deposit,250.0,0,Transient,135.5,1,0,Goa,27.73542,0.0,2.0,Yes,2
Resort Hotel - Bhopal,0,0,February,28,BB,CN,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,71.0,1,0,Bhopal,20.822918,0.0,2.0,Yes,1
Resort Hotel - Mumbai,0,0,August,3,BB,GBR,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,85.0,0,0,Mumbai,26.312494,25.7,2.0,Yes,4
Resort Hotel - Pune,0,13,March,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,171.0,0,Transient,41.4,0,0,Pune,28.052086,0.0,2.0,Yes,7
Resort Hotel - Jaipur,0,0,June,1,BB,CHE,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,103.0,1,0,Jaipur,36.19166,0.0,2.0,Yes,1
Resort Hotel - Hyderabad,0,21,February,8,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,95.0,0,Transient,0.0,0,0,Hyderabad,26.570831,0.0,1.0,No,0
Resort Hotel - Pune,1,73,November,1,BB,BEL,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient-Party,0.0,0,0,Pune,25.404165,0.1,1.0,No,0
Resort Hotel - Jaipur,0,1,December,13,BB,BEL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,95.0,0,1,Jaipur,15.614583,0.0,1.0,Yes,2
Resort Hotel - Chandigarh,0,77,November,2,HB,FRA,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,78.56,0,0,Chandigarh,22.424995,0.0,2.0,Yes,9
Resort Hotel - Bhopal,0,26,August,28,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,64.0,0,0,Bhopal,25.425003,1.4000002,2.0,Yes,7
Resort Hotel - Goa,0,155,June,29,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,54.2,0,1,Goa,25.445831,30.6,2.0,Yes,6
Resort Hotel - Kolkata,0,5,December,19,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,117.0,0,0,Kolkata,20.800001,0.0,2.0,Yes,5
Resort Hotel - Goa,0,0,April,19,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,59.4,0,1,Goa,31.327085,0.0,1.0,Yes,1
Resort Hotel - Ahmedabad,0,18,March,15,BB,PRT,Direct,Direct,0,0,0,4,No Deposit,0.0,0,Transient,56.0,0,0,Ahmedabad,26.829165,0.0,1.0,Yes,1
Resort Hotel - Jaipur,0,18,January,26,BB,PRT,Direct,Direct,0,0,0,2,No Deposit,0.0,0,Transient,62.0,1,0,Jaipur,14.179168,0.0,1.0,Yes,1
Resort Hotel - Kolkata,0,3,June,11,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,56.0,0,1,Kolkata,31.656252,0.0,1.0,Yes,1
Resort Hotel - Chennai,0,3,September,17,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,56.0,0,1,Chennai,30.783333,0.6,1.0,Yes,1
Resort Hotel - Jaipur,0,26,November,10,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,56.0,0,1,Jaipur,24.85,0.0,1.0,Yes,1
Resort Hotel - Bangalore,0,45,January,22,BB,CHE,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,69.0,1,1,Bangalore,22.99375,0.0,2.0,Yes,4
Resort Hotel - Pune,0,14,August,11,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,95.0,0,Transient,43.11,0,0,Pune,24.133331,1.1,3.0,No,7
Resort Hotel - Delhi,0,31,March,2,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,91.0,0,Transient-Party,53.1,0,0,Delhi,19.204166,16.800001,2.0,Yes,4
Resort Hotel - Delhi,0,0,March,2,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,76.0,0,0,Delhi,19.204166,16.800001,2.0,No,4
Resort Hotel - Kochi,0,31,November,18,BB,IRL,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,91.0,0,Transient-Party,55.1,0,1,Kochi,27.377083,0.0,2.0,Yes,4
Resort Hotel - Chandigarh,0,29,October,30,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,51.59,0,0,Chandigarh,25.475,0.0,2.0,Yes,7
Resort Hotel - Chennai,0,0,November,3,HB,ARG,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,107.0,1,0,Chennai,26.566668,1.8000001,2.0,No,3
Resort Hotel - Bangalore,0,18,November,19,BB,FRA,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0,Transient,85.0,0,1,Bangalore,21.989584,0.0,2.0,Yes,2
Resort Hotel - Delhi,0,0,December,18,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,59.4,0,1,Delhi,13.820834,0.0,1.0,Yes,1
Resort Hotel - Kolkata,0,31,January,17,BB,IRL,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,91.0,0,Transient-Party,73.69,0,0,Kolkata,18.270832,1.2,3.0,Yes,4
Resort Hotel - Chennai,0,28,March,12,BB,BEL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,65.0,0,1,Chennai,28.318747,0.0,2.0,Yes,1
Resort Hotel - Chandigarh,0,13,May,22,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,8.0,0,Transient,42.0,1,0,Chandigarh,34.39167,0.1,1.0,Yes,6
Resort Hotel - Chandigarh,0,57,January,4,BB,IRL,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,43.47,0,0,Chandigarh,10.58125,0.0,2.0,No,7
Resort Hotel - Goa,0,83,February,11,BB,NLD,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,52.2,0,1,Goa,26.462502,1.0,2.0,Yes,7
Resort Hotel - Indore,0,0,May,23,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,85.0,0,0,Indore,37.372917,0.0,2.0,No,1
Resort Hotel - Kolkata,0,2,July,29,BB,ESP,Direct,Direct,0,0,0,4,No Deposit,250.0,0,Transient,67.5,0,0,Kolkata,28.15,23.000004,2.0,Yes,2
Resort Hotel - Ahmedabad,0,1,June,28,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,65.0,0,1,Ahmedabad,29.195833,9.3,2.0,Yes,7
Resort Hotel - Goa,0,0,April,26,BB,PRT,Online TA,TA/TO,1,0,1,0,No Deposit,196.0,0,Transient,43.0,0,1,Goa,30.481247,0.0,1.0,Yes,1
Resort Hotel - Mumbai,0,62,November,26,BB,POL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,49.0,0,2,Mumbai,26.322916,0.0,1.0,No,8
Resort Hotel - Pune,0,62,November,9,BB,POL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,113.0,0,3,Pune,23.993752,0.0,4.0,No,8
Resort Hotel - Lucknow,0,89,March,22,BB,CHE,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,251.0,0,Transient-Party,59.0,0,1,Lucknow,23.291664,0.0,2.0,No,1
Resort Hotel - Bhopal,0,89,March,24,BB,CHE,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,251.0,0,Transient-Party,59.0,0,1,Bhopal,29.35,0.0,2.0,No,1
Resort Hotel - Hyderabad,0,1,February,8,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,52.0,0,0,Hyderabad,26.570831,0.0,2.0,Yes,2
Resort Hotel - Bhopal,0,38,August,28,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,39.33,0,0,Bhopal,25.425003,1.4000002,2.0,No,4
Resort Hotel - Chandigarh,0,3,May,3,BB,PRT,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0,Transient,75.0,0,2,Chandigarh,29.854164,0.0,3.0,Yes,2
Resort Hotel - Kolkata,0,57,August,27,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,39.1,0,0,Kolkata,26.841667,9.100001,2.0,Yes,6
Resort Hotel - Mumbai,0,12,July,27,HB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,61.56,0,0,Mumbai,27.097918,8.799999,2.0,No,4
Resort Hotel - Kolkata,0,49,January,25,BB,FRA,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,177.0,0,Transient,63.0,0,0,Kolkata,17.433332,0.0,2.0,Yes,7
Resort Hotel - Pune,0,26,March,20,BB,USA,Direct,Direct,0,0,0,3,No Deposit,250.0,0,Transient,146.38,1,1,Pune,27.933334,0.0,4.0,Yes,4
Resort Hotel - Mumbai,0,25,May,20,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,56.0,0,0,Mumbai,31.447916,0.0,1.0,Yes,1
Resort Hotel - Ahmedabad,0,1,July,21,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,330.0,0,Transient,59.4,0,0,Ahmedabad,29.497911,1.2,1.0,Yes,1
Resort Hotel - Pune,0,1,February,27,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,330.0,0,Transient,67.5,0,0,Pune,27.764585,0.0,2.0,Yes,1
Resort Hotel - Chennai,0,1,September,16,BB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,330.0,0,Transient,67.5,0,0,Chennai,30.712502,0.4,2.0,Yes,1
Resort Hotel - Kochi,0,36,July,5,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,81.51,0,2,Kochi,25.875,9.4,2.0,No,7
Resort Hotel - Kochi,0,4,August,14,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,91.0,0,0,Kochi,26.24375,4.799999,1.0,Yes,2
Resort Hotel - Delhi,0,18,July,30,BB,PRT,Online TA,Direct,1,0,1,0,No Deposit,240.0,0,Transient,43.0,0,1,Delhi,32.649998,0.2,1.0,Yes,2
Resort Hotel - Bhopal,0,5,January,17,BB,GBR,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,85.0,0,0,Bhopal,17.229166,0.0,1.0,No,1
Resort Hotel - Lucknow,0,3,May,20,BB,GBR,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,40.0,0,Contract,71.73,0,1,Lucknow,33.90833,0.0,2.0,No,7
Resort Hotel - Delhi,0,18,May,11,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,33.3,0,0,Delhi,31.924997,0.1,1.0,Yes,5
Resort Hotel - Mumbai,0,99,February,7,BB,DEU,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,251.0,0,Transient,59.0,0,0,Mumbai,26.285414,0.0,2.0,No,1
Resort Hotel - Bangalore,0,27,March,16,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,54.0,0,1,Bangalore,28.0875,0.0,1.0,Yes,2
Resort Hotel - Kolkata,0,27,April,25,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,54.0,0,1,Kolkata,33.031246,0.0,1.0,Yes,2
Resort Hotel - Jaipur,0,1,February,13,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient-Party,48.0,1,0,Jaipur,17.314585,0.1,1.0,No,2
Resort Hotel - Goa,0,73,October,19,BB,FIN,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,88.0,0,1,Goa,26.133333,9.2,2.0,Yes,7
Resort Hotel - Pune,0,42,May,11,HB,DEU,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,75.0,0,Transient,64.78,0,0,Pune,29.245829,0.2,2.0,No,9
Resort Hotel - Bhopal,0,0,March,29,BB,FRA,Online TA,TA/TO,1,0,0,0,No Deposit,240.0,0,Transient,0.0,1,1,Bhopal,30.958336,0.0,2.0,No,0
Resort Hotel - Bhopal,0,22,May,21,HB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,73.25,0,0,Bhopal,35.768757,0.0,2.0,Yes,7
Resort Hotel - Hyderabad,0,6,August,20,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,39.0,0,0,Hyderabad,25.55625,17.100002,1.0,Yes,1
Resort Hotel - Chennai,0,14,January,27,BB,PRT,Corporate,Corporate,1,0,1,0,No Deposit,0.0,0,Transient,39.0,0,0,Chennai,26.191666,0.4,1.0,Yes,1
Resort Hotel - Kolkata,0,27,March,31,BB,PRT,Corporate,Corporate,1,0,2,0,No Deposit,0.0,0,Transient,39.0,0,0,Kolkata,29.039583,7.3,1.0,No,1
Resort Hotel - Lucknow,0,7,January,7,BB,PRT,Corporate,Corporate,1,0,3,0,No Deposit,0.0,0,Transient,70.0,1,0,Lucknow,14.345833,0.0,1.0,Yes,1
Resort Hotel - Delhi,0,35,January,21,BB,PRT,Corporate,Corporate,1,0,4,0,No Deposit,0.0,0,Transient,58.0,0,0,Delhi,8.958333,0.0,1.0,Yes,1
Resort Hotel - Bangalore,0,30,December,24,BB,PRT,Corporate,Corporate,1,0,5,0,No Deposit,0.0,0,Transient,66.0,0,0,Bangalore,22.268753,0.0,1.0,No,1
Resort Hotel - Chennai,0,50,June,28,BB,PRT,Corporate,Corporate,1,0,6,0,No Deposit,0.0,0,Transient,115.0,0,0,Chennai,31.320831,0.0,1.0,Yes,1
Resort Hotel - Indore,0,65,March,25,BB,PRT,Corporate,Corporate,1,0,7,0,No Deposit,0.0,0,Transient,115.0,0,0,Indore,28.800001,0.0,1.0,No,1
Resort Hotel - Goa,0,86,October,5,BB,PRT,Corporate,Corporate,1,0,8,0,No Deposit,0.0,0,Transient,66.0,0,0,Goa,26.539581,6.0,1.0,No,1
Resort Hotel - Kolkata,0,100,August,2,BB,PRT,Corporate,Corporate,1,0,9,1,No Deposit,0.0,0,Transient,66.0,0,0,Kolkata,27.243746,19.700005,1.0,No,1
Resort Hotel - Jaipur,0,114,October,19,BB,PRT,Corporate,Corporate,1,0,10,0,No Deposit,0.0,0,Transient,58.0,0,0,Jaipur,27.252083,0.0,1.0,Yes,1
Resort Hotel - Chennai,0,29,June,22,BB,PRT,Corporate,Corporate,1,0,11,0,No Deposit,0.0,0,Transient,39.0,0,0,Chennai,31.39583,0.2,1.0,Yes,1
Resort Hotel - Jaipur,0,7,October,16,BB,PRT,Corporate,Corporate,1,0,12,1,No Deposit,0.0,0,Transient,27.0,0,0,Jaipur,26.622917,0.0,1.0,Yes,1
Resort Hotel - Goa,0,27,February,10,BB,PRT,Corporate,Corporate,1,0,13,1,No Deposit,0.0,0,Transient,27.0,0,0,Goa,26.697916,0.0,1.0,No,2
Resort Hotel - Delhi,0,2,May,4,BB,PRT,Corporate,Corporate,1,0,14,0,No Deposit,0.0,0,Transient,0.0,0,0,Delhi,32.756252,0.0,1.0,No,0
Resort Hotel - Ahmedabad,0,5,February,14,BB,PRT,Corporate,Corporate,1,0,15,0,No Deposit,0.0,0,Transient,35.0,0,0,Ahmedabad,23.220835,0.0,1.0,No,2
Resort Hotel - Mumbai,0,17,November,1,BB,PRT,Corporate,Corporate,1,0,16,0,No Deposit,0.0,0,Transient,35.0,0,0,Mumbai,27.75,0.3,1.0,Yes,2
Resort Hotel - Kolkata,0,32,July,28,BB,PRT,Corporate,Corporate,1,0,17,1,No Deposit,0.0,0,Transient,35.0,0,0,Kolkata,28.493752,10.400001,1.0,Yes,3
Resort Hotel - Jaipur,0,10,October,29,BB,PRT,Corporate,Corporate,1,0,18,0,No Deposit,0.0,0,Transient,45.0,0,0,Jaipur,26.622917,0.0,1.0,Yes,1
Resort Hotel - Mumbai,0,4,May,10,BB,IRL,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,67.0,0,1,Mumbai,29.475004,0.0,2.0,No,5
Resort Hotel - Chandigarh,0,61,April,10,BB,GBR,Offline TA/TO,TA/TO,0,0,0,2,No Deposit,314.0,0,Transient,62.64,0,0,Chandigarh,25.8375,0.0,3.0,No,5
Resort Hotel - Indore,0,14,June,23,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,73.15,0,1,Indore,27.941668,9.1,2.0,Yes,3
Resort Hotel - Bangalore,0,17,January,13,HB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,107.0,0,1,Bangalore,21.404167,0.0,2.0,Yes,2
Resort Hotel - Jaipur,0,0,July,10,BB,FRA,Direct,TA/TO,1,0,0,0,No Deposit,0.0,0,Transient,75.0,0,1,Jaipur,29.735418,3.3,2.0,Yes,1
Resort Hotel - Indore,0,27,March,21,BB,USA,Direct,Direct,0,0,0,3,No Deposit,250.0,0,Transient,136.0,1,0,Indore,26.570833,0.0,4.0,No,4
Resort Hotel - Kolkata,0,178,March,29,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,48.76,0,0,Kolkata,28.912498,0.8,2.0,Yes,7
Resort Hotel - Bhopal,0,0,May,22,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,59.0,0,0,Bhopal,35.985416,0.0,2.0,No,2
Resort Hotel - Bhopal,0,1,December,6,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,67.5,0,0,Bhopal,20.539585,0.0,2.0,No,1
Resort Hotel - Jaipur,0,2,June,30,BB,IRL,Direct,Direct,0,0,0,0,No Deposit,250.0,0,Transient,76.5,0,0,Jaipur,29.183334,1.6,1.0,Yes,3
Resort Hotel - Pune,0,2,November,16,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient-Party,42.0,0,0,Pune,26.372917,0.0,1.0,No,1
Resort Hotel - Hyderabad,0,83,February,9,SC,PRT,Corporate,Corporate,0,0,0,2,No Deposit,0.0,0,Transient-Party,0.0,0,0,Hyderabad,25.933334,0.0,1.0,No,3
Resort Hotel - Bangalore,0,2,April,24,BB,PRT,Corporate,Corporate,0,0,0,3,No Deposit,0.0,0,Transient,45.0,1,0,Bangalore,30.029165,0.0,1.0,Yes,1
Resort Hotel - Bhopal,0,88,May,25,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,115.0,0,Transient,42.83,0,0,Bhopal,36.42709,0.0,2.0,Yes,7
Resort Hotel - Chandigarh,0,0,May,13,BB,DEU,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,101.0,1,0,Chandigarh,31.231249,0.0,1.0,Yes,2
Resort Hotel - Kochi,0,0,August,3,BB,DEU,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,95.0,0,0,Kochi,26.191666,10.0,1.0,Yes,2
Resort Hotel - Kochi,0,0,June,11,BB,DEU,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,95.0,0,0,Kochi,26.279167,14.800001,1.0,Yes,2
Resort Hotel - Hyderabad,0,95,July,3,BB,FRA,Online TA,TA/TO,0,0,0,2,No Deposit,242.0,0,Transient,52.2,0,2,Hyderabad,26.900003,0.0,3.0,No,6
Resort Hotel - Kolkata,0,95,August,6,BB,FRA,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0,Transient,52.2,0,1,Kolkata,27.824999,7.499999,2.0,Yes,6
Resort Hotel - Kochi,0,30,March,8,BB,BEL,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,63.0,0,0,Kochi,28.566666,0.0,2.0,No,2
Resort Hotel - Hyderabad,0,34,March,19,FB,PRT,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,26.0,0,Transient,81.16,0,0,Hyderabad,28.508337,0.4,2.0,Yes,4
Resort Hotel - Pune,0,194,May,24,BB,GBR,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,46.0,0,0,Pune,29.260416,0.3,2.0,Yes,9
Resort Hotel - Bhopal,0,167,December,14,BB,GBR,Direct,Direct,1,0,0,0,No Deposit,0.0,0,Transient,80.8,0,2,Bhopal,15.125,0.0,2.0,Yes,9
Resort Hotel - Lucknow,0,6,January,8,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,75.0,0,0,Lucknow,13.266665,0.0,2.0,Yes,8
Resort Hotel - Chandigarh,0,6,April,5,BB,GBR,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient-Party,65.0,0,0,Chandigarh,24.7125,0.0,2.0,Yes,8
Resort Hotel - Goa,0,0,April,8,BB,PRT,Direct,Direct,0,0,0,1,No Deposit,0.0,0,Group,62.75,0,0,Goa,29.78125,0.0,1.0,Yes,2
Resort Hotel - Indore,0,27,January,28,BB,GBR,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,40.0,0,Contract,60.3,0,0,Indore,19.252085,0.0,2.0,Yes,5
Resort Hotel - Ahmedabad,0,75,October,7,BB,HUN,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,55.0,1,1,Ahmedabad,28.291666,0.0,1.0,No,2
Resort Hotel - Pune,0,2,September,8,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,42.0,0,0,Pune,24.237501,1.8000001,1.0,No,1
Resort Hotel - Pune,0,2,February,8,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,0.0,0,Transient,42.0,0,0,Pune,23.972921,0.0,1.0,No,1
Resort Hotel - Bangalore,0,0,February,3,BB,PRT,Corporate,Corporate,1,0,1,0,No Deposit,0.0,0,Transient,35.0,0,0,Bangalore,24.208334,0.0,1.0,Yes,2
Resort Hotel - Bhopal,0,6,October,17,BB,PRT,Direct,Direct,0,0,0,0,No Deposit,0.0,0,Transient,50.0,0,0,Bhopal,25.664581,0.0,1.0,Yes,1
Resort Hotel - Hyderabad,0,8,January,4,BB,PRT,Direct,Direct,1,0,1,0,No Deposit,0.0,0,Transient,35.0,0,0,Hyderabad,22.03125,0.0,1.0,No,1
Resort Hotel - Bangalore,0,2,October,15,BB,PRT,Direct,Direct,1,0,2,0,No Deposit,0.0,0,Transient,43.0,0,0,Bangalore,21.09375,21.3,1.0,Yes,1
Resort Hotel - Bhopal,0,0,June,9,BB,PRT,Corporate,Corporate,0,0,0,0,No Deposit,154.0,0,Transient,37.0,0,0,Bhopal,33.243748,1.4000001,1.0,No,1
Resort Hotel - Kolkata,0,64,June,1,BB,FIN,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,314.0,0,Transient,41.76,0,0,Kolkata,30.789587,0.70000005,2.0,Yes,7
Resort Hotel - Pune,0,65,May,15,BB,FIN,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,88.0,0,1,Pune,30.372915,0.0,2.0,Yes,7
Resort Hotel - Mumbai,0,43,December,25,BB,BRA,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,56.21,0,1,Mumbai,24.191666,0.0,2.0,Yes,3
Resort Hotel - Mumbai,0,57,March,2,BB,ITA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,64.0,1,0,Mumbai,25.99792,0.2,2.0,No,2
Resort Hotel - Indore,0,104,December,13,BB,GBR,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,156.0,0,Transient,41.4,0,1,Indore,15.414584,0.0,2.0,Yes,7
Resort Hotel - Bhopal,0,43,August,13,BB,BRA,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,56.21,0,1,Bhopal,25.94375,5.2,2.0,Yes,3
Resort Hotel - Lucknow,0,57,October,10,BB,ITA,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,58.0,0,1,Lucknow,27.172915,0.0,2.0,No,2
Resort Hotel - Bangalore,0,8,April,8,BB,USA,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0,Transient,96.25,0,0,Bangalore,29.200003,0.0,1.0,Yes,1
Resort Hotel - Jaipur,0,11,April,14,BB,PRT,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0,Transient,62.0,1,1,Jaipur,28.352081,0.8,1.0,Yes,4
